Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
278,MIA,Ollie Gordon II,RB,20.03,12,22.3,0,262.00,408.00,687.00,"A tale of two years. Gordon had over 2,000 total yards as a sophomore, flashing great change of direction and vision. He was dangerous in space and used as a receiver in the flat. In his junior season, Gordon couldn’t seem to find any running room and tried to go for the big play too often. His Combine was mediocre, running a 4.61 40-yard dash with pedestrian numbers across the board. Gordon was unspectacular on 70 rookie-year carries behind De'Von Achane. Now, he'll break in a new coaching staff.",17.80
279,NO,Alvin Kamara,RB,19.07,11,30.7,0,302.00,396.00,458.00,"Kamara set a career low in rushing yards in 2023 (694). He signed a two-year contract extension in October 2024, keeping him under team control through the 2026 season. In '24, he generally outperformed expectations before a late-season groin injury. Another injury surfaced in 2025 -- an MCL sprain -- forcing multiple absences. Now with Travis Etienne in town, Kamara's likely to play elsewhere in the fall.",17.80
280,MIA,Malik Washington,WR,20.09,12,25.4,0,271.00,434.00,790.00,"Washington got a shot to play when Tyreek Hill went down with an injury. He went 46-317-3 in 2025, earning the slot role. With a new head coach next year, Washington's role is unknown, but he is worth keeping on the roster to see how the offseason goes.",17.70
281,BUF,Terrel Bernard,LB,N/A,7,26.9,0,363.00,568.00,936.00,"",17.60
282,DEN,Evan Engram,TE,21.11,12,31.6,0,255.00,378.00,610.00,"Engram had high hopes for 2025, but he fell short of expectations (50-461-1). He now heads into his age-32 season in an offense that's suddenly stacked at WR. We're not banking on a 2026 rebound here.",17.60
283,RK,Demond Claiborne,RB,21.07,18,22.5,0,236.00,383.00,715.00,"Claiborne injured his ribs in the first game of the year that seemed to affect him throughout the season. He is a smaller runner with 4.3 speed who can break long runs. He has 21 rushing TDs over the last two years on a weak Wake Forest offense. Claiborne could certainly have a big play role on an NFL team, but is unlikely to become an NFL three-down back.",17.60
284,CLE,Dylan Sampson,RB,16.11,9,21.6,0,229.00,382.00,637.00,"Sampson is a bit light in the pants, but he moves so fluidly, making him tough to bring down. He had six straight 100+ yard rushing games in his final season for Tennessee. Being paired on the Browns with RB Quinshon Judkins makes Samspon an intriguing third-down and pass-catching back moving forward. Sampson caught 33 of 40 targets as a rookie.",17.60
285,TEN,Calvin Ridley,WR,22.10,10,31.3,0,261.00,398.00,638.00,"Ridley had a disappointing 2025 going 17-303-0. He will likely move on to a new team, but he recently turned 31. Ridley's best days are behind him, but he could be useful in fantasy if he lands in a pass heavy system with a good QB.",17.60
286,NYG,Abdul Carter,DL,N/A,14,22.5,0,351.00,600.00,1189.00,"",17.50
287,PHI,Jalen Carter,DL,N/A,9,25,0,381.00,613.00,1026.00,"",17.50
288,HOU,Kamari Lassiter,DB,N/A,6,23.2,0,407.00,666.00,1203.00,"",17.50
289,NO,Devin Neal,RB,19.11,11,22.7,0,257.00,402.00,667.00,"Neal broke out as a true freshman on a terrible Kansas team, rushing for 707 yards and eight TDs. Since then, he tallied three straight 1,000-yard seasons, including 1,266 yards and 16 TDs in 2024. He also caught at least 20 passes in each of those three seasons. As a rookie, Neal looked just OK in late-season work with Alvin Kamara sidelined. New Orleans then added a clear-cut RB1 in Travis Etienne.",17.40
290,MIA,Jaylen Wright,RB,21.03,12,23,0,245.00,401.00,673.00,"Wright was one of the speediest RBs in the 2024 class. According to The Athletic’s Bruce Feldman, Wright hit a Tyreek Hill-like 23.6 MPH in practice. The three-year Volunteer averaged a ridiculous 7.4 yards per carry in 2023, with 19 of his 136 attempts going for 15+ yards (per PFF). He showed out at the Combine with a 4.38 forty time and a 38-inch vertical. Miami provided an ideal landing spot for creative usage, but 2024 turned up light work behind De'Von Achane. The same trend surfaced in '25, while Miami also added rookie RB Ollie Gordon. We'll see how this backfield depth shakes out under a new coaching staff.",17.30
291,PHI,Tank Bigsby,RB,17.06,9,24.6,0,276.00,415.00,554.00,"Bigsby wrapped up a productive career at Auburn with 540-2,903-25 (35 games). He tested as an average athlete at the Combine, however, and his struggles carried over into a mistake-filled first season. Bigsby looked like a different back in 2024, showing the power and burst that made him an attractive prospect. A wrench was thrown into his 2025 plans, as the Jags traded him to Philly over the summer. He’ll remain in a backup/handcuff role. ",17.30
292,DAL,Ryan Flournoy,WR,22.06,10,26.4,0,258.00,410.00,735.00,"An AC Joint sprain to CeeDee Lamb caused Flournoy to get some playing time and take advnatage. He ended 2025 going 40-475-5, but flashed great hands and route running. He should stick on the Cowboys roster and could be among the top three WRs on the team in 2026 and beyond.",17.30
293,DEN,Riley Moss,DB,N/A,12,26.1,0,405.00,641.00,1075.00,"",17.20
294,ATL,Brian Robinson Jr.,RB,19.03,5,27,0,286.00,344.00,483.00,"Despite missing several games, Robinson set a career high with 8 rushing scores in 2024. His receiving usage predictably declined, though, while 2025 turned up a move to San Francisco. After playing a handcuff role to CMC, Robinson reached free agency in March.",17.20
295,NO,Devaughn Vele,WR,22.02,11,28.3,0,262.00,412.00,685.00,"Vele was traded from the Broncos to the Saints at the trade deadline. He flashed with an 8-93-1 game with New Orleans, but his usage wasn't consistent enough to be fantasy relevant. Vele should be rostered in deeper dynasty leagues in case he wins a starting spot with QB Tyler Shough growing. ",17.20
296,WAS,Rachaad White,RB,15.09,12,27.3,0,266.00,321.00,451.00,"We were pumped to see White — an athletic back with pass-catching ability — land in Round 3 in 2022. He managed to get on the field early and eventually work in tandem with Leonard Fournette. 2023 turned up workhorse usage, boosted by a thin backfield and a surprisingly effective Baker Mayfield. However, we baked in some dynasty risk following the 2024 arrival of Bucky Irving, who proved pro-ready. White was largely quiet in 2025 -- despite some missed time from Irving. Washington supplies a nice landing spot, but the team could add more talent via the draft.",17.10
297,RK,De'Zhaun Stribling,WR,N/A,18,23.3,0,255.00,431.00,814.00,"Stribling broke out at Washington State before joining Ole Miss in 2025. He went 55-811-6 in the SEC showcasing great hands and after catch ability. There is a chance that Stribling could sneak his way into the top-100 of the NFL Draft, though his profile suggests he should be more of a reserve WR.",17.00
298,NYG,Calvin Austin III,WR,71.12,14,27,0,279.00,430.00,706.00,"Austin worked as the No. 2 WR behind D.K. Metcalf in 2025. He flashed when Metcalf was out due to suspension. He is unlikely to be a long term answer, but he should stick on the Steelers with a role in 2026 and beyond.",16.90
299,JAC,Foyesade Oluokun,LB,N/A,8,30.7,0,371.00,542.00,774.00,"",16.80
300,DEN,Marvin Mims Jr.,WR,22.08,12,24.1,0,241.00,408.00,780.00,"Mims Jr. fell behind Troy Franklin and Pat Bryan in the WR pecking order. He went 37-322-1, but Mims is still an elite returner who will stick on the roster. He just won't have the fantasy impact that was promised when he was drafted.",16.80
301,CLE,Isaiah Bond,WR,21.06,9,22.1,0,240.00,405.00,811.00,"Bond went undrafted in April's draft but was signed by the Browns when cleared of off field charges. He was on the field often, ending the season going 18-338-0. A high ankle sprain cut his season short, but Bond showed enough to stick on the Browns roster as a young, talented WR.",16.70
302,SF,Fred Warner,LB,N/A,14,29.4,0,354.00,539.00,818.00,"",16.60
303,BAL,Rashod Bateman,WR,23.06,7,26.3,0,254.00,403.00,687.00,"Bateman continues struggling with the Ravens. He only went 19-224-2 in 2025. He signed a new deal with the Ravens and returns for the forseeable future, but a new head coach could mean Bateman loses his starting role.",16.60
304,CIN,Mike Gesicki,TE,24.04,10,30.5,0,238.00,370.00,566.00,"Gesicki returned as the Bengals' starting TE in 2025, but an injury to Joe Burrow and a step back for the offense made him unstartable for most of the year. With the bevy of weapons on the Bengals, Gesicki will remain a spot-starter in the short term.",16.50
305,PIT,Kaleb Johnson,RB,17.05,5,22.7,0,256.00,404.00,569.00,"Johnson's rookie year proved disastrous. After arriving in Round 3, the Iowa standout spread only 28 carries (for 69 yards) across 10 games. He simply wasn't able to earn a role alongside Jaylen Warren and Kenneth Gainwell. We then saw how little the team believes in Johnson, as Rico Dowdle arrived on a two-year deal. Note that Warren is signed through the 2027 season. ",16.50
306,RK,Mansoor Delane,DB,N/A,18,22.3,0,402.00,661.00,1233.00,"",16.40
307,KC,George Karlaftis,DL,N/A,10,25,0,366.00,615.00,1009.00,"",16.30
308,BAL,Roquan Smith,LB,N/A,7,29,0,362.00,551.00,836.00,"",16.20
309,RK,Adam Randall,RB,368.11,18,21.8,0,226.00,364.00,649.00,"Randall came to Clemson as a WR, but transitioned to RB before 2025. The 6'2, 235 back was a track star in high school, so his size and speed offers a unique runner who succeeded on a weak Clemson offense. He is next in the line of WR to RB players like Tyrone Tracy and Brashard Smith, but Randall may offer even more athletic upside for his size.",16.20
310,NE,Demario Douglas,WR,25.03,14,25.3,0,251.00,403.00,732.00,"Douglas had the worst season of his NFL career in 2025. He went 31-447-3, the lowest reception total of his career. Despite the lack of Patriots' WR options, Douglas couldn't really break through in Drake Maye's second season. He should stick around and have a role, but there is little upside to Douglas going forward.",16.20
311,ARI,James Conner,RB,18.08,8,30.9,0,225.00,334.00,514.00,"Despite the addition of rookie Trey Benson, Conner remained the clear starter in 2024. Arizona even signed the veteran to an extension in November of '24, although we'd see his momentum hit a wall in 2025. A September ankle injury cost him the rest of the season and required surgery. We'd bet against a major rebound in 2026 -- especially with the Cardinals bringing in a new staff and free agent Tyler Allgeier.",16.10
312,LAC,Cameron Dicker,K,63.08,12,25.9,0,424.00,718.00,1431.00,"",16.00
313,CAR,Ja'Tavion Sanders,TE,22.03,14,23,0,230.00,382.00,691.00,"Sanders ended as TE47 in PPR points per game in 2025, a disappointing season. A poor Panthers' passing game hurt Sanders' output, but at only 23, there's still a chance of him developing into a useful fantasy piece. Carolina remains thin at TE ahead of the NFL Draft.",16.00
314,GB,Savion Williams,WR,413.09,5,24.3,0,243.00,415.00,756.00,"Williams flashed a bit as a rookie, but he remained a unique weapon used in the screen game and trick plays. Williams will have trouble cracking a deep Packers' WR group, but he could find more playing time in 2026.",15.90
315,RK,Jamarion Miller,RB,N/A,18,22,0,218.00,354.00,657.00,"Miller never had a breakout season for Alabama, topping out at 504 rushing yards in 2025. His lack of production is concerning, but Miller's skill set as a stout RB who moves nimbly in short spaces makes him an attractive depth RB in the NFL. He has soft hands that weren't showcased enough, too.",15.90
316,DEN,Zach Allen,DL,N/A,12,28.6,0,401.00,594.00,828.00,"",15.70
317,LAC,Keaton Mitchell,RB,19.02,12,24.3,0,236.00,355.00,468.00,"Mitchell showed dynamic traits before a December 2023 ACL tear. He missed most of the 2024 season but returned to see part-time work behind Derrick Henry in '25. The results still weren't great: 341 yards and 1 TD on 59 attempts, plus 9 catches for 63 yards. He projects as a part-timer after signing with the Chargers.",15.70
318,LVR,Jalen Nailor,WR,19.10,8,27.1,0,239.00,376.00,649.00,"Nailor continued flashing in 2025 especially in the red zone. He could be a starter for the Raiders with their lack of WR depth",15.70
319,TB,Tez Johnson,WR,21.08,9,23.9,0,239.00,405.00,774.00,"Johnson stepped up when injuries ravaged the Buccaneers' WRs in 2025. He finished his rookie season going 28-322-5. The depth chart may not give Johnson an opportunity to play a lot moving forward, but his talent makes him rosterable in most dynasty league formats.",15.60
320,RK,Josh Cameron,WR,364.02,18,23.1,0,230.00,390.00,735.00,"Cameron has had two straight years of 750+ receiving yards and 9+ TDs. The focal point of the Baylor offense, Cameron has good size and physicality down the field at 218 pounds. He's tough to bring down after the catch as well. Cameron is limited athletically, but he has been productive.",15.60
321,TB,Sean Tucker,RB,20.04,9,24.4,0,241.00,361.00,483.00,"As a rookie, Tucker watched Rachaad White eventually earn a workhorse role. Then in 2024, he witnessed the breakout of Bucky Irving. Outside of one game vs. Buffalo, Tucker remained quiet in 2025. He returned to Tampa Bay in March, but the signing of Kenneth Gainwell ruins any shot at '26 value.",15.50
322,WAS,Jaylin Lane,WR,410.11,12,23.9,0,233.00,394.00,744.00,"Lane mostly played on special teams for the Commanders, but his speed was utilized on offense at times. He has some upside if he develops, but Lane likely sits toward the end of the depth chart.",15.50
323,RK,Cole Payton,QB,366.09,18,23.2,0,544.00,923.00,1108.00,"Payton is a small school prospect with only one year of starting. He led a successful NDSU offense throwing for 2,719 yards with 16 TDs and 4 INTs. He is a big QB who can take hits and keeps his eyes downfield, but Payton will be a developmental prospect.",15.20
324,UNS,Joe Mixon,RB,23.09,18,29.7,0,244.00,348.00,410.00,"Mixon quietly assembled the PPR RB6 season in 2023. After a hot start in 2024, his play declined down the stretch. Then in 2025, he missed the entire season with a mysterious foot injury. He'll play elsewhere in 2026.",15.20
325,KC,Jalen Royals,WR,24.10,10,23.2,0,234.00,397.00,749.00,"Royals did very little in his rookie year even with Rashee Rice missing most of the season. He only caught two passes in 2025, but could develop into a bigger role in 2026 if other WRs move on from the Chiefs. He is worth hanging onto in case there is offseason buzz.",15.20
326,BUF,Joshua Palmer,WR,96.03,7,26.5,0,238.00,378.00,679.00,"Palmer signed a sizable deal with the Bills, but he only went 22-303-0 in 2025. Palmer's role is unlikely to grow in the future as the Bills should add more WRs in the offseason.",15.20
327,DET,Terrion Arnold,DB,N/A,8,23,0,385.00,631.00,1139.00,"",15.10
328,GB,Zaire Franklin,LB,N/A,5,29.8,0,366.00,547.00,810.00,"",15.00
329,SF,Isaac Guerendo,RB,457.10,14,25.8,0,231.00,349.00,533.00,"Guerendo brings excellent long speed, and he showed it at the Combine with a 4.33 forty-time. He also jumped 41.5 inches and tallied a 10’9” broad jump – all at 221 pounds. We saw that in a narrow window in 2024, although injuries limited his late-season impact. The 49ers showed their lack of faith in Guerendo by using a Round 5 pick on '25 rookie Jordan James. They also traded for Brian Robinson Jr. Ultimately, Guerendo is just a dynasty stash.",15.00
330,SEA,Cooper Kupp,WR,24.12,8,32.8,0,246.00,357.00,572.00,"Kupp is nearing the end of his career as he approaches his age-33 season. He took a backseat to JSN going 47-593-2 in 2025. Kupp may have a year or two left, but he won't be startable in fantasy.",14.90
331,SF,Christian Kirk,WR,23.01,14,29.4,0,250.00,378.00,566.00,"Kirk started the season as the slot WR for the Texans, but a hamstring ended his 2025 season. He will be a free agent this offseason and could sign somewhere that gives him a role. But Kirk's best days are behind him.",14.80
332,NYJ,Isaiah Davis,RB,24.02,9,24.1,0,234.00,352.00,464.00,"Davis' college tape featured a nice combo of power, patience, and vision. The Jets' landing spot just hasn't been a friendly one, especially with Breece Hall returning on the franchise tag. Davis will also be pushed by third-year RB Braelon Allen.",14.70
333,CIN,Andrei Iosivas,WR,501.08,10,26.5,0,234.00,373.00,640.00,"Iosivas continues working as the No. 3 WR for the Bengals behind Ja'Marr Chase and Tee Higgins. He saw a boost when one of those players were out and can be useful in deeper leagues. Iosivas' athleticism should allow him to stick in the league for awhile.",14.70
334,SEA,Emanuel Wilson,RB,18.11,8,26.9,0,216.00,337.00,500.00,"Wilson saw a surprising 103 carries in 2024, posting 4.9 YPC. His workload rose in '25, largely because of missed games from Josh Jacobs. Wilson hit the spring as a free agent and signed with a Seahawks team that just lost Kenneth Walker to the Chiefs. Zach Charbonnet is also coming off a January ACL tear.",14.60
335,RK,Seth McGowan,RB,N/A,18,22.5,0,198.00,322.00,601.00,"McGowan started at Oklahoma but was charged with robbery and battery on a drug-related crime. He transferred to New Mexico State and succeeded as their starter. Finally, he ended in Kentucky this past year, rushing for 165-725-12. McGowan has good size and burst, staying balanced through contact. If has has matured since the off field concerns, McGowan could be a late round draft pick.",14.60
336,BUF,Ray Davis,RB,21.04,7,26.4,0,236.00,339.00,500.00,"Davis tallied back-to-back 1,000-yard rushing seasons -- one at Vanderbilt and one at Kentucky (2023). 2023 turned up his best work yet, including 3.81 yards after contact per attempt and a career-long 75-yarder on a sizable 73% carry share. After a promising rookie year, Davis' workload regressed in 2025, with 34% of his touches coming in a meaningless Week 18 game. He'll remain far behind James Cook in 2026.",14.50
337,CAR,Nic Scourton,DL,N/A,14,21.6,0,322.00,553.00,1113.00,"",14.10
338,NO,Bryan Bresee,DL,N/A,11,24.5,0,345.00,572.00,1011.00,"",14.10
339,RK,Drew Allar,QB,369.08,18,22.1,0,426.00,727.00,1031.00,"Allar was a potential top-100 pick in the 2025 NFL Draft but opted to go back to school. That led to only 8 TDs and 3 INTs in 6 games before Allar broke his ankle. He has some interesting traits, including a bit of rushing upside. But, Allar has never pulled together a full college season and may be overdrafted based on his physical tools.",14.10
340,KC,Brashard Smith,RB,21.09,10,23,0,197.00,313.00,561.00,"Similar to Tyrone Tracy, Brashard Smith spent most of his collegiate career as a WR. After transferring to SMU from Miami, Smith changed positions to RB and was the central part of their offensive success. Lining up both wide and in the backfield, he is an intriguing weapon with great short-area quickness and ability. We saw flashes of that in Year 1, although the Chiefs appeared hesitant to truly unleash him. Smith will remain no more than a part-timer moving forward, especially after the signing of Kenneth Walker.",14.00
341,MIN,Tai Felton,WR,413.04,6,23.1,0,212.00,362.00,705.00,"Felton was mostly pegged as a special teams and developmental player for the Vikings. He didn't make much impact as a rookie, but should stick on the roster for the future and could have some upside.",13.80
342,RK,Tanner Koziol,TE,N/A,18,23.2,0,206.00,351.00,652.00,"Koziol went 94-839-8 in 2024 with Ball State before transferring to Houston. His 74-727-6 showcases Koziol's pass-catching prowess. His massive wingspan makes him a mismatch at 6'7, 250 pounds. He can be used as a red zone option in the NFL, though he lacks the leverage needed as a blocker. He could be an intriguing sleeper in the right situation.",13.70
343,ARI,Jacoby Brissett,QB,14.03,8,33.3,0,474.00,618.00,848.00,"Brissett isn't a long-term solution, but his play down the stretch in 2025 could get him a starting opportunity to open 2026. The veteran turned 33 in December. ",13.60
344,RK,Reggie Virgil,WR,369.01,18,21.9,0,199.00,351.00,702.00,"Virgil transferred from Miami (OH) to Texas Tech, showcasing his speed as a threat next to WR Caleb Douglas. Virgil is 6'3 with a big wingspan and offered a downfield contested catch option. He is a bit on the thin side, but Virgil could find an NFL role.",13.60
345,RK,Garrett Nussmeier,QB,19.01,18,24.2,0,440.00,744.00,736.00,"Nussmeier showcased a strong arm in 2024 at LSU, throwing for 4,052 yards with 29 TDs and 12 INTs. He dealt with an abdominal strain all season in 2025, causing him to miss the final four games. He is a pure pocket passer who can get the ball out quickly and likes taking risks, but he may be tough for NFL teams to trust before Day 3.",13.50
346,LAR,Jared Verse,DL,N/A,8,25.4,0,337.00,566.00,928.00,"",13.40
347,RK,Barion Brown,WR,N/A,18,22.3,0,202.00,345.00,672.00,"Brown's best season was his freshman year at Kentucky in 2022. He only had one receiving TD this year for LSU, but his speed should make Brown an all around offensive weapon at the NFL level. That doesn't help him in fantasy, but he could be developed into something more.",13.40
348,LAC,Kimani Vidal,RB,18.03,12,24.6,0,220.00,313.00,401.00,"Vidal is short but stout at 5’8, 215 pounds. He posted eye-popping production at Troy that includes 2,793 rushing yards and 24 TDs over his final two seasons. After a quiet 2024, injuries to Najee Harris and Omarion Hampton opened the door for Vidal to post five games of 100+ yards. He'll slide back to a reserve role in '26.",13.30
349,NO,Chase Young,DL,N/A,11,27,0,348.00,542.00,775.00,"",13.10
350,RK,Kevin Coleman Jr.,WR,N/A,18,22.6,0,204.00,347.00,676.00,"Coleman was a four-star recruit who started with Deion Sanders at Jackson State. Instead of following Sanders to Colorado, Coleman went to Louisville, but struggled to make an impact. Then he went to Missouri. 2024 was Coleman's best season at Missouri going 74-932-6. He took a step back in 2025, but the size and skills are there to make an NFL roster.",13.10
351,RK,CJ Daniels,WR,370.03,18,24.3,0,201.00,333.00,634.00,"Daniels started at Liberty before transferring to LSU and finally Miami. He was a central cog in the Hurricane's passing game this year to help support QB Carson Beck. A good route runner who can avoid open field tackles, he is an interesting Day 3 option.",13.00
352,SF,Jordan James,RB,21.12,14,22,0,190.00,299.00,510.00,"James is a young and explosive runner who is an ideal zone scheme fit. He posted 1,267 rushing yards in his final Oregon season in a split backfield and then went in Round 5 of the 2025 draft. He didn't see a single touch as a rookie, though. There's only an outside chance he's San Francisco's RB2 in 2026.",12.90
353,RK,Jeff Caldwell,WR,364.04,18,23.2,0,203.00,344.00,649.00,"Caldwell transferred to Cincinnati from Lindenwood and flashed incredible athleticism in 2025. He's 6'4, 210 pounds and will be a Combine stud both in the vertical and 40 time. Despite only going 32-478-6 this year, Caldwell's athleticism should get him drafted.",12.90
354,LAC,KeAndre Lambert-Smith,WR,410.05,12,23.7,0,207.00,351.00,661.00,"Lambert-Smith had preseason hype coming into his rookie season, but it didn't really pay off. He went 5-51-1 as a rookie, but should land on the team next year and may develop more.",12.90
355,ATL,Divine Deablo,LB,N/A,5,27.7,0,333.00,515.00,821.00,"",12.80
356,TEN,Jeffery Simmons,DL,N/A,10,28.7,0,366.00,542.00,755.00,"",12.70
357,TEN,Alontae Taylor,DB,N/A,10,27.3,0,382.00,605.00,996.00,"",12.70
358,BUF,Maxwell Hairston,DB,N/A,7,22.7,0,380.00,621.00,1139.00,"",12.70
359,RK,Taylen Green,QB,368.09,18,23.5,0,475.00,806.00,968.00,"Green spent two years at Boise State before transferring to Arkansas. He has a strong arm, but Green's advantage is in his rushing ability. Over the past two years, he has rushed for a combined 1,379 yards and 16 TDs. Standing at 6'6 and 235 pounds, Green is an athletic freak who could become a fantasy starter if he gets the opportunity to play for a team.",12.70
360,KC,Chamarri Conner,DB,N/A,10,25.8,0,382.00,606.00,1006.00,"",12.60
361,TB,Jacob Parrish,DB,N/A,9,22.1,0,380.00,630.00,1190.00,"",12.50
362,MIA,Tutu Atwell,WR,100.03,12,26.5,0,205.00,326.00,585.00,"Atwell managed only 6 catches in 10 games for the Rams in 2025. He then signed a one-year deal with a Miami squad that's paper-thin at WR. Still, Atwell's career trajectory -- plus Miami's uncertainty at QB -- makes it hard to forecast a fantasy-friendly 2026.",12.50
363,KC,Tyquan Thornton,WR,24.07,10,25.7,0,195.00,309.00,555.00,"Thornton found a career resurgence with 19-438-3 on 37 targets, benefiting from injuries to the Chiefs' WR corps. He returned on a one-year deal this offseason and should continue in a downfield/rotational role.",12.50
364,SEA,Devon Witherspoon,DB,N/A,8,25.3,0,377.00,597.00,1028.00,"",12.40
365,LAR,Jarquez Hunter,RB,25.10,8,23.3,0,190.00,303.00,537.00,"Hunter made a name for himself dominating Alabama as a sophomore, but saved his best season for his senior year in '24. With 1,201 yards rushing and another 155 through the air, he is an intriguing two-way player with a strong lower body to work in traffic. However, he didn't see the field in 2025, as Kyren Williams and Blake Corum handled almost all of the backfield work. That duo remains under contract for 2026.",12.40
366,RK,Eric McAlister,WR,365.10,18,23.3,0,204.00,345.00,651.00,"McAlister had a great season at TCU going 72-1190-10. A big bodied X WR, McAlister was used in a variety of ways on the Horned Frogs. He may not have NFL athleticism, but his hands and physicality at the line could earn him a spot on a roster.",12.40
367,ARI,Will Johnson,DB,N/A,8,23,0,379.00,620.00,1121.00,"",12.30
368,CHI,T.J. Edwards,LB,N/A,5,29.7,0,335.00,501.00,742.00,"",12.30
369,NYJ,Geno Smith,QB,16.05,9,35.5,0,410.00,630.00,809.00,"Smith was a major fantasy flop in 2025, posting only two top-12 fantasy finishes. At 35, his days as an NFL starter are nearing an end. But he'll at least have a shot at starting games in 2026 after the Jets acquired him in a trade from Vegas.",12.30
370,NO,Kaden Elliss,LB,N/A,11,30.8,0,345.00,505.00,721.00,"",12.20
371,PHI,Will Shipley,RB,460.07,9,23.6,0,185.00,293.00,525.00,"In 2025, Shipley played a minor role behind Saquon Barkley, who didn't miss a game due to injury. Barkley and Tank Bigsby remain under contract for '26, limiting Shipley's dynasty appeal.",12.20
372,PIT,Roman Wilson,WR,458.08,5,24.8,0,195.00,333.00,607.00,"Wilson flashed early, but struggled to even be active for most of the season. With the Steelers expected to address WR this offseason, Wilson could be on the roster bubble in 2026.",12.20
373,LAR,Jordan Whittington,WR,458.10,8,25.5,0,202.00,324.00,590.00,"Whittington got some play in 2025, but he was still pretty buried on the depth chart with Davante Adams and the TEs emerging. He could have a long NFL career, but it is doubtful Whittington does enough to make a fantasy impact.",12.20
374,HOU,Ka'imi Fairbairn,K,305.01,6,32.2,0,428.00,688.00,1242.00,"",12.00
375,RK,Sam Roush,TE,367.08,18,22.8,0,194.00,332.00,616.00,"Roush has improved every season, topping out at 49-545-2 in 2025 for Stanford. At 6'5, 260 pounds, he brings excellent size and blocking ability, but there's also some red zone upside here. Roush could get drafted in the middle rounds in April.",12.00
376,NYG,Devin Singletary,RB,179.05,14,28.6,0,185.00,275.00,440.00,"In March of 2024, Singletary inked a three-year, $16.5 million deal with New York. But a poor offensive environment and the rise of Tyrone Tracy Jr. kept Singletary's fantasy production in check that season. The Giants added Cam Skattebo in the '25 draft, although his season-ending injury allowed Singletary to enter a timeshare with Tracy. With Skattebo coming back, Singletary won't be a lock for the 2026 roster.",12.00
377,NYG,Darius Slayton,WR,178.01,14,29.3,0,196.00,309.00,471.00,"Slayton had a few fantasy-relevant games in 2025, ending the season with 37-538-1. While the Giants lost WR Wan'Dale Robinson, they added WR Darnell Mooney and TE Isaiah Likely to join WR1 Malik Nabers. Slayton projects as a rotational piece.",12.00
378,JAC,LeQuint Allen,RB,23.03,8,21.7,0,179.00,279.00,470.00,"Allen had his background looked into deeply by the NFL after having an assault charge dismissed and expunged from his record. With that aside, he exited college with two straight 1,000-yard rushing seasons and 102 receptions over that period. His multi-faceted skill set makes him a dynasty sleeper, even after a quiet rookie season.",12.00
379,DAL,Jaydon Blue,RB,21.02,10,22.3,0,170.00,273.00,489.00,"Blue was expected to be the next big Texas RB after Sophomore CJ Baxter went down with an injury. However, struggles with his vision early in 2024 led to a pass-catching role for the former four-star recruit. Blue ran a 4.38 at the NFL Combine despite nursing a torn muscle in his groin. His 4.25 Pro Day time may be more accurate to his actual speed. As the first RB drafted by the Cowboys, Blue carried some appeal entering the '25 season. But he barely saw the field and watched as Javonte Williams rebounded in a major way. Dallas then re-signed Williams to a three-year contract, putting a lid on Blue's dynasty value. ",11.90
380,LAR,Konata Mumpfield,WR,408.03,8,23.4,0,196.00,332.00,627.00,"Mumpfield saw more snaps late in the season and flashed enough ability to potentially make the Rams in 2026. He is intriguing in very deep leagues on the back end of your dynasty roster.",11.90
381,PIT,Darnell Washington,TE,24.11,5,24.7,0,189.00,306.00,548.00,"Despite playing with Pat Freiermuth and Jonnu Smith, Washington emerged as a versatile weapon with his size and after-catch ability. Washington later broke his arm and ended up on IR, but he'll return in 2026 and could earn more work for new HC Mike McCarthy.",11.80
382,SF,Jordan Watkins,WR,411.03,14,24.2,0,197.00,326.00,604.00,"Watkins dealt with a high ankle sprain in 2026 and would have had some opportunity to crack the 49ers lineup. He is in a crowded situation going forward.",11.80
383,RK,Harrison Wallace III,WR,N/A,18,22.9,0,179.00,312.00,604.00,"Wallace transferred from Penn State to Ole Miss, immediately becoming their top WR. He went 61-934-4 this season as the main target for QB Trinidad Chambliss. A sharp route runner who finds ways to get open, especially against zone coverage, he has intriguing upside. Don't be surprised if Wallace moves up throughout the draft process.",11.70
384,CHI,Cole Kmet,TE,24.01,5,27.1,0,215.00,324.00,526.00,"Kmet started strong in 2025, but he fell behind rookie Colston Loveland by the end of the season. Even with D.J. Moore in Buffalo, Kmet's targets figure to remain limited going forward.",11.60
385,ATL,Xavier Watts,DB,N/A,5,24.3,0,367.00,604.00,1081.00,"",11.50
386,NYJ,Arian Smith,WR,412.07,9,24.5,0,193.00,320.00,592.00,"Smith had good draft capital, but he could barely crack the lineup. He played behind Adonai Mitchell and John Metchie. That doesn't bode well for Smith's future.",11.50
387,IND,Nick Westbrook-Ikhine,WR,103.09,11,29,0,197.00,311.00,516.00,"NWI impressed as a deep threat, scoring long TDs in 2024 when the Titans offense. Signing with Miami didn't do him any favors. He only had 11 catches and appears done producing for his career.",11.50
388,NE,Robert Spillane,LB,N/A,14,30.3,0,333.00,498.00,739.00,"",11.40
389,SEA,Jalen Milroe,QB,20.01,8,23.3,0,390.00,659.00,1237.00,"Milroe exited college with one of the best QB rushing profiles since Lamar Jackson. He'll be developed as a passer behind Sam Darnold, who excelled as the 2025 starter. If this staff can figure out how to harness Milroe’s passing, he could be gangbusters for fantasy in a few years.",11.30
